Id,SalePrice
2658,127548.32027776068
2718,161509.5884212697
2414,224608.2830560642
1989,103886.28150584546
625,185428.17699876166
333,79371.87912532696
1327,103383.17423812948
858,160628.71269347653
95,168847.84730490646
1568,166127.63232674912
2482,143322.07850821468
1364,119498.9832944762
2584,137956.0915675669
818,270202.9301009282
2673,128283.0473340438
2089,124707.71709877164
1297,171941.58603032038
790,122552.68862181997
2616,194868.7703179949
720,187691.50434210247
222,156078.7828810233
557,131976.9647478253
1148,176541.49529034682
2766,163386.61513266538
534,181703.93832672774
1452,118907.25822336403
630,118037.20576904173
2648,108569.07441706394
125,164846.07331091602
1904,45187.0442616969
1670,97731.40843929167
756,104605.84699149214
717,197914.45073880474
1032,155470.288538153
852,217146.53115236724
1731,183434.24361484294
2639,114218.42626653485
2071,74875.7349839594
1267,131397.9168143144
1851,200109.60476789685
567,173489.71292118813
2439,203711.76691635075
1898,154712.85253274758
647,151133.91529327552
2256,210420.9953655969
979,88081.70775451798
1444,217257.2519484722
2485,126534.05501736961
157,132589.38966041416
88,117337.85289661729
2003,99636.7714895886
186,199868.90500377284
1425,237346.56500739176
2695,125010.80900266062
738,108951.78881184808
395,152859.92962364067
1353,168980.2640620785
1878,142866.10825672446
390,146031.38674114825
1456,230449.2798184072
1103,324136.27380800736
1387,134003.46699048858
2070,152563.92422891117
1199,164053.38511758304
2479,182880.06719032492
501,331697.10642985004
2362,85417.03667438877
1718,222326.26201764806
2188,100108.19628886775
1483,147517.70633889447
2557,93298.09186462987
437,363520.89601167274
2224,221848.54074940618
1628,159589.2695651405
397,138436.48939254493
587,198964.75951607683
2182,556276.7773989212
971,154919.1718297699
2611,129807.07313056884
1887,95678.15060281694
2399,368282.770533456
2148,192268.46011910692
304,133726.67684123784
1997,129458.32544903504
2817,112955.44173026072
1431,212297.07600975005
427,346551.1385773081
263,124242.60950825542
598,177880.27956461094
2895,236988.8306483162
687,125229.26996372994
1822,133293.23999529151
2191,94413.52951375926
179,112886.33939564494
1009,232592.6464683577
2010,132050.18178084627
1991,135260.09961977432
1411,208790.51770826612
1721,236478.01904016003
1144,196630.7258936821
593,208676.20627401056
575,311609.4070533492
1249,158943.28569482468
1604,119960.47218700634
1064,461775.6894049003
1923,151140.18910605583
1988,113453.36195876323
2325,169378.16104092414
114,202552.8221378901
2700,171888.3651198302
217,135578.28671691884
343,185303.4228763664
386,215677.11139446145
2005,116110.2060090935
2908,138796.48490229988
1814,236941.24062338122
2446,461840.5857504107
208,143461.15487896005
1679,108725.99379443155
822,308062.89745973196
6,187511.33650430545
1781,379401.7798887089
2397,325076.2077821083
2340,317192.11823120393
1618,164812.02144926137
2843,142249.8192075329
1061,368291.1411413145
2786,128704.31219628417
1935,132977.3177936074
1341,114837.884782392
521,262313.4586252863
2136,137910.90427622997
996,205282.65016575786
227,148753.07151855616
135,159680.13623178902
1167,162439.95562544334
294,235074.81346502248
1776,205869.8764127404
540,158985.3677731691
1717,234123.61746404145
2303,126479.62682006268
116,184527.2434001906
127,152022.28811841708
1371,131326.00382450974
1014,130953.49767150197
1507,119587.23745547353
702,124257.27362020875
750,149019.34170593895
261,137663.61852767403
1559,51387.98945660899
577,228924.72920201943
2812,192182.3089718329
2080,155995.20794573645
1368,116125.76182886519
2376,119599.5213918697
659,112483.47843489678
1235,135805.73854287117
332,68349.2335258378
1917,142530.57558847772
2094,243431.30950873252
1460,255547.66835367234
1471,223657.74031441094
1509,119636.64139141847
1922,124362.10060514265
433,486278.22286163125
460,259264.54953461845
1116,239200.87603537116
1137,155940.7241424472
53,165726.0827125155
2354,269123.7922510033
1475,198593.32531319602
1761,455345.2225395874
842,139634.67505685068
2739,181121.482496493
2509,146234.404046964
1007,195822.70148722208
2610,178255.14359215857
1952,80355.28852760044
2719,159401.83773873316
2921,77760.01305840345
1966,154916.88024134535
292,117133.38909206571
1204,187100.66150710545
1829,256787.65357865786
2419,197221.5289766924
391,151011.44570088037
798,108620.68173916507
481,202707.6529683928
193,207985.9364201769
555,121927.11228890445
899,54575.05195411764
2357,186212.68685075623
328,130635.5631758744
1356,112503.2718104311
1154,102599.22844984416
1730,188255.65236379087
2249,174284.7272565704
1119,297249.66930094315
2856,145891.21216048248
1394,123330.32635598147
2587,113416.93477499299
61,321120.91510596784
2661,175796.68756176915
2711,114339.50059074655
1147,179752.5787591282
757,118756.7365569176
2623,114515.44178395475
2378,142297.78167568592
1413,131783.64638515288
1722,222570.75783508507
1112,241396.8020517335
1623,192896.59406880042
1201,201646.96762846623
1513,121507.8620913169
957,385011.2317253413
1171,239464.6281416631
