Id,SalePrice
2658,146612.12121212122
2718,137592.98830409357
2414,194273.69008264464
1989,114005.28695652174
625,192823.1875
333,101865.26618705037
1327,101865.26618705037
858,137592.98830409357
95,194273.69008264464
1568,163714.44444444444
2482,192823.1875
1364,131542.13989637306
2584,163714.44444444444
818,266116.8076923077
2673,194273.69008264464
2089,114005.28695652174
1297,131542.13989637306
790,137592.98830409357
2616,213679.27702702704
720,237992.07142857142
222,131687.57386363635
557,131687.57386363635
1148,213679.27702702704
2766,131542.13989637306
534,192823.1875
1452,131687.57386363635
630,101865.26618705037
2648,114005.28695652174
125,131542.13989637306
1904,68104.0
1670,101865.26618705037
756,101865.26618705037
717,266116.8076923077
1032,160084.25742574257
852,192823.1875
1731,159897.5
2639,142436.61111111112
2071,101865.26618705037
1267,114005.28695652174
1851,192823.1875
567,159897.5
2439,194273.69008264464
1898,131687.57386363635
647,160084.25742574257
2256,213679.27702702704
979,101865.26618705037
1444,194273.69008264464
2485,131687.57386363635
157,131687.57386363635
88,131687.57386363635
2003,137592.98830409357
186,277913.0
1425,237992.07142857142
2695,114005.28695652174
738,131687.57386363635
395,131542.13989637306
1353,213679.27702702704
1878,160084.25742574257
390,131542.13989637306
1456,194273.69008264464
1103,330813.95
1387,137592.98830409357
2070,160084.25742574257
1199,194273.69008264464
2479,194273.69008264464
501,330813.95
2362,101865.26618705037
1718,192823.1875
2188,68104.0
1483,159897.5
2557,68104.0
437,330813.95
2224,213679.27702702704
1628,159897.5
397,131687.57386363635
587,213679.27702702704
2182,481040.63333333336
971,160084.25742574257
2611,163714.44444444444
1887,114005.28695652174
2399,358652.8461538461
2148,192823.1875
304,131542.13989637306
1997,131687.57386363635
2817,101865.26618705037
1431,194273.69008264464
427,330813.95
263,131687.57386363635
598,192823.1875
2895,237992.07142857142
687,194273.69008264464
1822,131687.57386363635
2191,101865.26618705037
179,131542.13989637306
1009,184534.78260869565
2010,131687.57386363635
1991,146612.12121212122
1411,160084.25742574257
1721,184534.78260869565
1144,194273.69008264464
593,237992.07142857142
575,289851.75
1249,194273.69008264464
