Id,SalePrice
2658,128634.21343424401
2718,164389.58877921957
2414,207603.90989076614
1989,109848.11769217483
625,179768.73455420387
333,94002.3634112732
1327,105143.82668502003
858,161132.4156686947
95,181029.0350251744
1568,161873.12560191273
2482,156986.627336052
1364,121507.81779538227
2584,138790.49568855853
818,246872.4932066868
2673,160828.483070407
2089,114576.11982622421
1297,140642.77826414155
790,111900.79307082026
2616,197714.2922988663
720,187652.16786467956
222,152091.1413151354
557,133913.58714321913
1148,208087.49759339605
2766,183422.907397639
534,179060.53663770025
1452,122692.15808635834
630,142250.03294262974
2648,110719.23070621683
125,155782.17571804076
1904,63793.719282222046
1670,115960.65430929833
756,104610.36202913852
717,233517.63678098383
1032,160336.6558737923
852,205583.94670756967
1731,166017.98618084332
2639,123878.11754193263
2071,106628.35197734555
1267,131056.1933994373
1851,192175.9661860444
567,160282.8093958265
2439,205069.36253524164
1898,144985.8936391812
647,154980.9505282999
2256,239201.7146011858
979,97064.10732283727
1444,217354.91346426783
2485,128608.43681720326
157,128355.44223744773
88,132114.36146999637
2003,107737.26236002019
186,208471.53362296242
1425,238156.0879277099
2695,125091.20905520066
738,123657.16534901451
395,136282.16372045214
1353,158193.95902870025
1878,140297.5182782521
390,155252.94347332994
1456,233216.23738793025
1103,306941.6682788026
1387,125828.37508306987
2070,157602.99893567341
1199,182244.85738145377
2479,170093.3728168852
501,331844.04750905576
2362,98613.89820851113
1718,181057.8528475812
2188,92155.59318025956
1483,158083.8217950615
2557,95183.97274956027
437,358983.1280719068
2224,201196.05437544588
1628,170217.03345479697
397,137371.87309274246
587,202700.72091076462
2182,392708.9084752364
971,141761.63471093753
2611,136230.7079045264
1887,108152.80449319018
2399,372669.64097835607
2148,192939.82226903943
304,118982.35583823569
1997,129390.33454932198
2817,119077.32804913083
1431,210755.04643395112
427,375201.9108420314
263,123656.16490412375
598,170115.26303935517
2895,236259.36904963505
687,132622.87136663558
1822,140948.75856989695
2191,119668.71923064659
179,119833.4098830009
1009,203097.89454326176
2010,128642.41707463219
1991,141986.77913214968
1411,164155.8511020486
1721,217368.21115244983
1144,180805.0512156255
593,198555.75874498338
575,311888.7614889771
1249,184058.16632308267
1604,125030.46069954909
1064,502681.4831958122
1923,155434.83524783474
1988,103604.70185758553
2325,173718.13076530152
114,207764.28320721866
2700,154304.885411322
217,121967.66227219366
343,174115.27534779158
386,209282.91443684328
2005,149183.58123434865
2908,151067.73786384027
1814,242905.67246037323
2446,513701.73614656593
208,138391.62996668668
1679,102372.63092860968
822,347819.5785258385
6,198042.50998595342
1781,394186.4732812256
2397,286622.31194472115
2340,336873.3180107899
1618,177149.26023017245
2843,129758.87473028706
1061,388678.81850825355
2786,128896.48481073973
1935,132717.33206277931
1341,123683.06302017745
521,285017.4852105426
2136,142198.0294964167
996,195480.2014901427
227,155483.87273329942
135,169982.13311168656
1167,173503.88230164387
294,240989.66096067437
1776,195981.0982506344
540,166619.89282018295
1717,183012.3243370681
2303,144102.15707215996
116,178234.80609772718
127,129631.95753320846
1371,139809.37800664848
1014,150739.65688213328
1507,117522.89061331045
702,139066.71312113988
750,145087.37924934409
261,151954.0879045333
1559,55276.8440941248
577,238856.17834224427
2812,202201.57511484862
2080,152871.77670667725
1368,122604.50029982929
2376,135916.02791707334
659,105175.50235585668
1235,140542.7288863265
332,69390.86992773777
1917,140213.58255645967
2094,265132.9137682937
1460,272382.1427565879
1471,218222.85746683346
1509,135258.03980272159
1922,141769.6612216607
433,498552.8204469901
460,256772.5267056965
1116,225622.54359971746
1137,160654.18647269392
53,162922.00128216186
2354,256252.78904833354
1475,182497.1050944987
1761,450476.4042756707
842,146664.25627665044
2739,197654.87873241218
2509,149841.4495873247
1007,196516.91673281076
2610,176372.4639376716
1952,89620.0342815925
2719,160847.10046988283
2921,85792.45982117573
1966,141029.51764970509
292,117131.81674724112
1204,181764.25226855755
1829,240104.20966938764
2419,183101.43623404187
391,152688.45870460762
798,103098.39907582577
481,197123.51533878205
193,206811.1708033488
555,120214.46041435853
899,74152.32586865917
2357,174588.44065280753
328,115543.23468515836
1356,119370.86950710443
1154,119153.35780460808
1730,176821.66969184554
2249,159271.6705592829
1119,257664.8001280787
2856,135176.18349972114
1394,142673.36582255136
2587,133584.01394740012
61,346308.1900283355
2661,195840.83313559633
2711,137825.008717359
1147,183463.81732351406
757,142557.99133186825
2623,102162.52375881416
2378,138846.69360697726
1413,132806.5725396723
1722,201652.29501812955
1112,235660.05634569447
1623,195091.99180669236
1201,186685.8840950363
1513,117013.73363810818
957,272138.06862658216
1171,261138.40501882735
1145,193513.14132015858
2726,236030.0559672487
703,129736.48462414554
760,97726.02325769301
